,N.C.,Cmaj,C#maj,Dmaj,D#maj,Emaj,Fmaj,F#maj,Gmaj,G#maj,Amaj,A#maj,Bmaj,Cmin,C#min,Dmin,D#min,Emin,Fmin,F#min,Gmin,G#min,Amin,A#min,Bmin
N.C.,26748,44,1320,188,238,1158,529,365,747,252,979,718,113,264,519,276,836,21,312,1419,317,993,364,772,374
Cmaj,1063,80159,0,50,2,2,362,2,409,1,1,98,1,1925,0,149,0,270,2,3,312,0,625,3,64
C#maj,535,0,95900,4,126,8,12,109,0,78,1,16,29,73,604,1,118,2,165,9,2,38,0,1045,1
Dmaj,107,44,3,79162,0,9,4,2,338,0,126,5,3,44,63,1633,0,64,11,356,14,0,37,0,238
D#maj,178,0,84,0,106917,2,20,0,2,374,2,496,3,417,2,27,169,1,243,2,864,5,0,131,3
Emaj,72,2,1,16,0,70738,0,149,2,4,211,0,118,0,846,1,56,444,1,142,1,800,0,8,55
Fmaj,778,276,5,0,57,0,91481,0,23,3,0,154,0,147,2,325,0,45,1254,2,224,1,254,2,0
F#maj,170,7,113,8,4,38,3,81736,1,106,2,3,116,80,65,6,159,1,296,649,3,320,1,110,6
Gmaj,432,122,4,271,2,0,28,3,75668,0,140,3,2,11,0,14,1,382,3,37,2718,0,115,3,411
G#maj,950,68,267,0,295,2,0,76,0,78930,0,39,2,2168,14,0,85,0,693,2,102,1060,0,191,1
Amaj,69,1,8,182,2,86,7,2,60,3,74484,0,87,1,380,14,0,74,3,639,0,158,308,0,286
A#maj,587,32,0,5,304,0,434,7,0,33,3,97713,1,434,2,310,3,0,92,0,1433,0,69,450,1
Bmaj,187,1,414,2,2,307,1,162,2,5,83,3,81350,5,183,0,880,5,5,74,0,1436,0,88,1067
Cmin,628,309,90,0,538,0,66,0,0,752,0,131,0,95057,0,133,0,0,54,0,310,0,0,84,0
C#min,11,4,371,146,0,86,3,97,0,5,95,0,52,0,71762,4,25,0,2,165,0,90,1,3,24
Dmin,846,116,0,70,98,0,495,0,50,0,1,230,0,110,0,70861,0,6,1,0,319,0,532,0,0
D#min,151,0,40,0,915,67,2,901,0,193,0,3,229,0,79,4,62904,0,132,0,62,31,0,28,0
Emin,81,53,0,64,2,1259,71,0,421,1,59,0,0,0,0,32,1,63981,0,154,0,0,94,0,80
Fmin,262,0,613,0,100,2,58,116,0,384,0,78,0,203,0,0,34,2,83657,0,31,1,0,168,0
F#min,0,0,6,555,0,24,0,123,243,1,464,0,14,0,47,0,0,102,2,65894,0,15,2,0,216
Gmin,1480,56,0,2,832,2,51,0,54,335,0,1435,0,656,0,101,0,0,39,0,96328,1,146,0,0
G#min,0,0,130,0,1,1023,4,192,3,246,29,1,481,0,367,0,198,1,0,144,0,71578,0,85,0
Amin,306,434,0,30,0,1,251,0,88,5,155,23,1,32,0,240,0,270,0,0,439,0,59512,0,19
A#min,14,2,857,1,142,0,0,245,0,79,0,31,26,19,0,1,180,0,67,0,0,57,0,71183,0
Bmin,0,46,1,472,0,20,0,2,843,0,122,0,2,0,54,17,0,137,1,405,0,0,22,1,63896
