chord,accuracy,support
N.C.,0.6709476747102794,39866
Cmaj,0.9374992690314959,85503
C#maj,0.9699016950523889,98876
Dmaj,0.9623038303976271,82263
D#maj,0.9724854923505121,109942
Emaj,0.9602399989140321,73667
Fmaj,0.9626235097281997,95033
F#maj,0.9730128685880266,84003
Gmaj,0.9414955829289536,80370
G#maj,0.9291894755429984,84945
Amaj,0.9691623077523617,76854
A#maj,0.958788378322687,101913
Bmaj,0.9430571978391412,86262
Cmin,0.9684672752465564,98152
C#min,0.9837688152880213,72946
Dmin,0.9610225808639046,73735
D#min,0.9568458039883786,65741
Emin,0.9642518047413079,66353
Fmin,0.9760585236089558,85709
F#min,0.9732084834879187,67708
Gmin,0.9488760613881282,101518
G#min,0.9609978115811662,74483
Amin,0.9628838624081805,61806
A#min,0.9763936135191484,72904
Bmin,0.9675201768598295,66041
